 ,1,2,3,4,5,6
0,82.9141,319.4521,-329.6856,-111.1961,-152.5199,308.0862
20,62.348,329.4782,-319.8134,-120.0246,-159.5075,308.7456
40,94.5277,316.3602,-324.9708,-110.5356,-161.8581,303.5392
60,87.1299,311.7628,-330.8923,-100.9062,-151.7209,306.2048
80,70.672,316.3765,-323.8254,-102.5579,-145.7485,304.7506
100,90.4785,312.5957,-331.264,-118.2768,-160.6595,302.4601
120,93.4626,311.8579,-333.0609,-118.0194,-161.6892,304.2529
140,92.4612,310.4859,-339.8909,-115.0966,-154.0389,301.2786
160,85.9807,312.8608,-329.145,-119.9592,-151.2172,299.7498
180,87.4318,314.7092,-332.5311,-131.8426,-158.2186,302.2174
200,83.8811,313.5511,-334.1739,-136.4589,-161.142,299.8198
220,88.6243,311.7238,-339.1435,-134.9729,-163.5467,295.95
240,95.9471,305.4345,-343.6465,-145.3246,-164.4428,308.4509
260,69.5341,314.0555,-337.6058,-151.1206,-154.0262,297.4811
280,80.8505,313.8328,-334.306,-162.4058,-162.3961,296.5285
300,87.8417,315.7576,-340.7878,-164.8542,-166.3163,306.2354
320,85.8013,314.8322,-330.1699,-164.8384,-163.1776,296.6398
340,80.0361,315.6933,-334.649,-170.1264,-158.8532,305.0602
360,105.9214,308.897,-339.8053,-182.4213,-174.7738,303.3729
380,96.2298,307.6841,-329.5414,-169.2963,-154.0376,298.5958
400,68.9102,319.3214,-326.3371,-181.1365,-157.4287,301.9757
420,103.4744,303.6422,-338.9697,-176.0371,-160.2266,301.591
440,102.2108,314.2733,-345.1587,-186.0287,-168.0447,303.1125
460,102.5928,316.9536,-340.2173,-194.891,-174.3954,298.6191
480,95.9177,314.1258,-348.5164,-189.2892,-170.3356,299.8786
500,100.8672,316.0768,-347.0508,-199.2993,-169.1156,304.8517
520,96.8083,313.4566,-351.099,-192.8368,-164.8624,304.2158
540,100.8331,317.963,-345.8446,-202.5965,-170.3588,304.5455
560,94.6144,316.7532,-340.4282,-192.9454,-156.0563,298.3682
580,106.9551,325.1693,-343.3922,-208.9027,-177.536,301.373
600,120.7511,320.5161,-347.0946,-201.3424,-176.3424,302.5725
620,100.8998,330.397,-345.1214,-199.0507,-168.6187,303.1905
640,105.0502,328.3526,-344.0357,-199.0685,-169.964,303.8806
660,102.2755,328.3764,-345.864,-193.4648,-164.1394,298.0444
680,75.6136,339.7858,-334.9919,-191.6569,-148.3496,294.5399
700,100.629,331.4909,-340.1911,-184.5469,-161.7522,294.3749
720,85.2615,325.9238,-334.6472,-181.5562,-151.6789,301.1643
740,79.4355,333.2791,-333.0399,-172.9039,-155.0251,297.7668
760,79.5919,333.244,-336.8333,-176.9621,-157.1685,298.2787
780,78.5121,332.0949,-334.7133,-178.7549,-161.373,295.0436
800,88.0466,329.0941,-336.0071,-167.9842,-158.094,296.9289
820,76.6133,339.3816,-329.3094,-166.1439,-161.0509,293.7946
840,71.5514,341.6589,-323.7258,-149.5388,-148.6956,288.8598
860,87.0857,334.8449,-320.7354,-145.5931,-154.5072,302.0943
880,84.5954,328.1578,-323.5138,-140.6363,-149.0855,300.9342
900,86.6344,327.7843,-323.1877,-128.5145,-146.7303,301.7882
920,85.4747,327.0856,-324.1775,-126.7333,-145.6903,303.2787
940,86.3681,326.4401,-321.0617,-123.4837,-143.8865,306.6966
960,96.8075,334.0202,-322.0626,-131.9054,-161.4927,306.4239
980,95.3834,319.953,-326.3876,-107.0235,-141.1278,306.2098
1000,85.8655,338.4289,-314.1778,-111.22,-145.0284,294.369
1020,90.564,334.7455,-309.6698,-106.5918,-143.0078,294.6469
1040,87.7521,337.9288,-304.4933,-102.9691,-143.5995,292.6429
1060,90.7875,336.8557,-307.3693,-95.4799,-146.435,294.9746
